Batch started: Wed Feb 25 06:40:14 EAST 2026
Mesh,Re,Dh,Velocity,MaxIters,Status,Time
coronary2,50,0.004294469837890721,0.011698867305045126,2500,OK,293s
coronary2,75,0.004294469837890721,0.017548300957567688,2500,OK,386s
coronary2,100,0.004294469837890721,0.023397734610090253,2500,OK,394s
coronary2,125,0.004294469837890721,0.02924716826261282,2500,OK,484s
coronary2,150,0.004294469837890721,0.035096601915135375,2500,OK,494s
coronary2,175,0.004294469837890721,0.04094603556765794,2500,OK,727s
coronary2,200,0.004294469837890721,0.046795469220180505,2500,OK,498s
coronary2,225,0.004294469837890721,0.05264490287270307,3500,OK,879s
coronary2,250,0.004294469837890721,0.05849433652522564,3500,OK,1128s
coronary2,275,0.004294469837890721,0.0643437701777482,3500,OK,871s
coronary2,300,0.004294469837890721,0.07019320383027075,3500,OK,940s
coronary2,350,0.004294469837890721,0.08189207113531588,3500,OK,5971s
coronary2,400,0.004294469837890721,0.09359093844036101,3500,OK,656s
coronary2,450,0.004294469837890721,0.10528980574540614,3500,OK,6134s
coronary2,500,0.004294469837890721,0.11698867305045128,3500,OK,7065s
coronary2,600,0.004294469837890721,0.1403864076605415,5000,OK,10118s
coronary2,700,0.004294469837890721,0.16378414227063176,5000,OK,8211s
coronary2,800,0.004294469837890721,0.18718187688072202,5000,OK,8117s
