nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -1.086711434E-03 -1.087096651E-03  1.912540926E-04  1.697144666E-03 -1.108555436E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -1.233112440E-03 -2.903228322E-03 -1.886180147E-03  4.522581879E-03 -3.339016360E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -4.040579198E-05 -3.502512764E-04 -1.103602449E-04  3.907031699E-04 -2.103793913E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -4.583946810E-05 -2.184200313E-05  1.417295140E-05  6.689106570E-05  2.372701398E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -1.650287375E-04 -4.649903228E-04 -1.377099082E-04  1.897125136E-03  3.092365280E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.991660791E-05 -3.346425156E-05 -9.621192608E-06  4.187445243E-05 -6.065154540E-06 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -3.234332237E-04 -5.828286946E-04 -3.885768057E-05  8.287461627E-04  9.565192702E-04 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.999390073E-02 -9.674518109E-03  9.289852165E-03  4.589464666E-02  2.865427314E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -2.779646411E-05 -3.737098274E-05  1.496681590E-06  1.484668650E-04  5.586305636E-05 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -2.105692887E-05 -4.000996433E-05 -9.305348352E-06  5.390568813E-05  8.683310195E-05 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -1.836854583E-05 -1.182966471E-05  8.589622949E-07  2.211449868E-05  5.505408125E-07 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  8.136958000E-06 -5.169501572E-06 -6.029980899E-06  4.741440055E-05  8.819201539E-05 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  3.282706259E-05  2.121708987E-05 -1.006863562E-05  1.324240223E-04  1.132285126E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  1.440711705E-04 -1.826067941E-04 -1.464746827E-04  4.809648867E-04  5.998794675E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  8.622119283E-04  5.538181722E-04 -2.520547492E-04  1.972363242E-03  2.840432273E-03 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  4.453394788E-03  6.777901703E-03 -1.404447526E-04  8.807779113E-03 -1.766193163E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  8.171266345E-03  8.353435628E-03 -8.279459084E-03  2.461993463E-02 -2.034481054E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01 -1.252790259E-02  6.787402985E-03  1.271415361E-02  5.519348494E-02  1.425523775E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01 -1.519288399E-02  7.266484560E-03  2.071056525E-02  5.536631025E-02 -4.357132127E-02 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -1.450357232E-05 -3.133578727E-05 -1.415678683E-06  3.770302981E-05  7.327641058E-06 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  1.437998994E-04  8.475013519E-05 -4.357887806E-05  2.797248781E-04  4.538868282E-04 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
