nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude       z-velocity       y-velocity       x-velocity         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.644188472E-02 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.547239953E-01  2.876808811E-01 -1.816538257E-01  3.238587538E-04 -1.817213433E-04 -1.467129464E-04  6.018890765E-05 -2.596475479E-05 -1.816538257E-01  2.876808811E-01  2.547239953E-01 
         3  2.548512220E-01  2.878829241E-01 -1.816360205E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.874424037E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         4  2.546454668E-01  2.875562012E-01 -1.816323549E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.251072661E-03 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         5  2.547299609E-01  2.876903552E-01 -1.816190455E-01  6.092854392E-04 -2.192171870E-04 -2.147217724E-05 -1.772330891E-04 -2.321864758E-04 -1.816190455E-01  2.876903552E-01  2.547299609E-01 
         6  2.546497476E-01  2.875629991E-01 -1.816143952E-01  1.106272531E-04 -3.510204433E-05 -1.008952248E-04  6.067086579E-06  0.000000000E+00 -1.816143952E-01  2.875629991E-01  2.546497476E-01 
         7  2.548585783E-01  2.878946088E-01 -1.815974118E-01  1.332676721E-03  1.281020004E-04  1.067954312E-04 -8.845359770E-04 -1.945025081E-03 -1.815974118E-01  2.878946088E-01  2.548585783E-01 
         8  2.546537381E-01  2.875693353E-01 -1.815932422E-01  1.650920410E-04 -5.245758129E-05 -1.477349645E-04 -1.173102500E-05 -1.077203622E-08 -1.815932422E-01  2.875693353E-01  2.546537381E-01 
         9  2.545785308E-01  2.874499261E-01 -1.815854460E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.945725201E-03 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
        10  2.545802209E-01  2.874526072E-01 -1.815786862E-01  1.104195429E-05 -5.105112913E-06 -6.656143099E-06  2.383895839E-06  0.000000000E+00 -1.815786862E-01  2.874526072E-01  2.545802209E-01 
        11  2.547341934E-01  2.876970787E-01 -1.815760745E-01  2.924786180E-03  3.518346210E-04  1.437955220E-03 -2.295845427E-03 -1.108840644E-02 -1.815760745E-01  2.876970787E-01  2.547341934E-01 
        12  2.546952367E-01  2.877734601E-01 -1.815741956E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.739617644E-02 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
        13  2.545819110E-01  2.874552882E-01 -1.815719263E-01  1.656903252E-05 -5.403387328E-06 -9.840220947E-06  3.747245792E-07 -7.964196593E-09 -1.815719263E-01  2.874552882E-01  2.545819110E-01 
        14  2.546566119E-01  2.875738969E-01 -1.815667280E-01  1.832718148E-04  6.317554228E-06 -3.392519625E-05 -1.053559337E-04 -1.403596057E-05 -1.815667280E-01  2.875738969E-01  2.546566119E-01 
        15  2.545836012E-01  2.874579693E-01 -1.815651665E-01  6.831299258E-05  7.022662615E-06  2.127097135E-05 -4.391703313E-05 -4.010018802E-06 -1.815651665E-01  2.874579693E-01  2.545836012E-01 
        16  2.545055747E-01  2.873340249E-01 -1.815646887E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -7.427026449E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
        17  2.546342313E-01  2.876330912E-01 -1.815607548E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.623760880E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
        18  2.545076724E-01  2.873373583E-01 -1.815583461E-01  6.343500155E-06 -3.750203272E-06 -4.788364715E-06 -5.173985154E-07  0.000000000E+00 -1.815583461E-01  2.873373583E-01  2.545076724E-01 
        19  2.545097700E-01  2.873406916E-01 -1.815520035E-01  1.207243271E-05 -7.234822634E-06 -9.185164115E-06 -8.317505642E-07  0.000000000E+00 -1.815520035E-01  2.873406916E-01  2.545097700E-01 
        20  2.548652677E-01  2.879052349E-01 -1.815509511E-01  4.466715780E-03  9.001967200E-04  1.923734593E-03 -3.646609230E-03 -1.934114405E-02 -1.815509511E-01  2.879052349E-01  2.548652677E-01 
        21  2.549690902E-01  2.880701125E-01 -1.815471649E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.982437661E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
        22  2.545118677E-01  2.873440250E-01 -1.815456609E-01  2.375637824E-05 -1.387374247E-05 -1.826739190E-05 -2.944926196E-06  0.000000000E+00 -1.815456609E-01  2.873440250E-01  2.545118677E-01 
        23  2.545777857E-01  2.875143886E-01 -1.815407425E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.062265618E-02 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        24  2.545290291E-01  2.874064445E-01 -1.815271378E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.536588051E-03 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        25  2.544733286E-01  2.872828245E-01 -1.815232784E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.616040174E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        26  2.544754321E-01  2.872861663E-01 -1.815199659E-01  5.210000976E-06 -4.196319677E-06 -3.059398264E-06  2.027154510E-07  0.000000000E+00 -1.815199659E-01  2.872861663E-01  2.544754321E-01 
        27  2.544775357E-01  2.872895080E-01 -1.815166534E-01  1.018985199E-05 -7.959625963E-06 -6.318319028E-06  2.741237640E-07  0.000000000E+00 -1.815166534E-01  2.872895080E-01  2.544775357E-01 
        28  2.544796393E-01  2.872928497E-01 -1.815133409E-01  2.020371329E-05 -1.478968780E-05 -1.369433413E-05  2.842966369E-07  0.000000000E+00 -1.815133409E-01  2.872928497E-01  2.544796393E-01 
        29  2.549754688E-01  2.880802393E-01 -1.815061057E-01  5.897733000E-03  1.006551312E-03  2.054555043E-03 -5.241399607E-03 -3.554739177E-02 -1.815061057E-01  2.880802393E-01  2.549754688E-01 
        30  2.548699107E-01  2.879126119E-01 -1.814949622E-01  9.256500010E-03  2.294874472E-03  4.541815405E-03 -7.689896465E-03 -5.696112825E-02 -1.814949622E-01  2.879126119E-01  2.548699107E-01 
        31  2.546233553E-01  2.875210697E-01 -1.814925050E-01  2.687932283E-04  8.420902621E-05  1.570435687E-04 -1.950373159E-04 -5.725728886E-05 -1.814925050E-01  2.875210697E-01  2.546233553E-01 
        32  2.546656516E-01  2.875882610E-01 -1.814771489E-01  9.039796221E-04  2.833897607E-04  4.329374987E-04 -7.010844042E-04 -9.585532519E-04 -1.814771489E-01  2.875882610E-01  2.546656516E-01 
        33  2.544800043E-01  2.873633802E-01 -1.814693660E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.194759977E-03 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        34  2.545178235E-01  2.874630094E-01 -1.814692020E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.251999313E-02 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        35  2.545597255E-01  2.875734568E-01 -1.814690083E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.323151491E-02 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        36  2.546109259E-01  2.877084315E-01 -1.814687997E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.729576431E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        37  2.546735406E-01  2.878735065E-01 -1.814685166E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.127873005E-01 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        38  2.548077404E-01  2.879965901E-01 -1.814668328E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.438349567E-01 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        39  2.549477816E-01  2.881250679E-01 -1.814650744E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.212881231E-01 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        40  2.550802231E-01  2.882465422E-01 -1.814634055E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.180069043E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        41  2.545317279E-01  2.873755836E-01 -1.814596287E-01  1.408418448E-04  2.606266338E-05  6.576807625E-05 -9.198995103E-05 -2.036643224E-05 -1.814596287E-01  2.873755836E-01  2.545317279E-01 
        42  2.549808627E-01  2.880888032E-01 -1.814583235E-01  1.668976226E-02  2.042519087E-03  8.353497643E-03 -1.416312128E-02 -1.947568255E-01 -1.814583235E-01  2.880888032E-01  2.549808627E-01 
        43  2.545861035E-01  2.874619204E-01 -1.814552840E-01  4.217140116E-04  1.023105366E-04  2.481634493E-04 -3.233330628E-04 -1.224855104E-04 -1.814552840E-01  2.874619204E-01  2.545861035E-01 
        44  2.544662654E-01  2.872716486E-01 -1.814234853E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.278788652E-03 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        45  2.544696161E-01  2.872769690E-01 -1.814218422E-01  6.929445197E-06 -3.754654295E-06 -4.824888422E-06  1.014369709E-06  0.000000000E+00 -1.814218422E-01  2.872769690E-01  2.544696161E-01 
        46  2.544729667E-01  2.872822893E-01 -1.814201991E-01  1.282509817E-05 -7.670934701E-06 -8.155461600E-06  2.396829831E-06  0.000000000E+00 -1.814201991E-01  2.872822893E-01  2.544729667E-01 
        47  2.550853366E-01  2.882546691E-01 -1.814196502E-01  3.714697065E-02 -8.121259002E-03 -2.302844599E-02  7.266968059E-03 -4.989861448E-02 -1.814196502E-01  2.882546691E-01  2.550853366E-01 
        48  2.544763173E-01  2.872876096E-01 -1.814185560E-01  2.763933246E-05 -2.041354123E-06 -2.032495665E-06 -4.135289814E-06 -2.833574310E-07 -1.814185560E-01  2.872876096E-01  2.544763173E-01 
        49  2.549842339E-01  2.880941559E-01 -1.814025476E-01  2.855910655E-02  2.824988214E-03  1.541471018E-02 -2.374624980E-02 -4.678373906E-01 -1.814025476E-01  2.880941559E-01  2.549842339E-01 
        50  2.545108199E-01  2.875386775E-01 -1.814013273E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.039829842E-02 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        51  2.546239392E-01  2.875220239E-01 -1.813968632E-01  1.858329012E-03  4.521109515E-04  1.190533115E-03 -1.348570716E-03 -3.003839317E-03 -1.813968632E-01  2.875220239E-01  2.546239392E-01 
        52  2.548641003E-01  2.879033879E-01 -1.813962673E-01  2.000127734E-02  3.404384124E-03  1.067693264E-02 -1.652421512E-02 -2.631880887E-01 -1.813962673E-01  2.879033879E-01  2.548641003E-01 
        53  2.544737756E-01  2.874504924E-01 -1.813946366E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.522800361E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        54  2.544677556E-01  2.873635590E-01 -1.813855320E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.889390365E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        55  2.546586096E-01  2.880559266E-01 -1.813695878E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.371766965E+00 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        56  2.550893938E-01  2.882611204E-01 -1.813671433E-01  1.156660953E-01 -2.565762265E-02 -7.103988420E-02  3.930165204E-02 -2.401413943E-01 -1.813671433E-01  2.882611204E-01  2.550893938E-01 
        57  2.545668976E-01  2.874314291E-01 -1.813606914E-01  1.084229958E-03  1.688807520E-04  7.358639936E-04 -7.650337188E-04 -1.042068092E-03 -1.813606914E-01  2.874314291E-01  2.545668976E-01 
        58  2.545169900E-01  2.873521970E-01 -1.813576088E-01  1.808976963E-04  4.316254363E-05  1.388933381E-04 -9.113844456E-05 -2.592316762E-05 -1.813576088E-01  2.873521970E-01  2.545169900E-01 
