nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01  0.000000000E+00 -1.019702637E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.547239953E-01  2.876808811E-01 -1.816538257E-01  3.143825008E-05  0.000000000E+00 -1.816538257E-01  2.876808811E-01  2.547239953E-01 
         3  2.548512220E-01  2.878829241E-01 -1.816360205E-01  0.000000000E+00 -2.234137146E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         4  2.546454668E-01  2.875562012E-01 -1.816323549E-01  0.000000000E+00  4.177349920E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         5  2.547299609E-01  2.876903552E-01 -1.816190455E-01  6.737115123E-05  0.000000000E+00 -1.816190455E-01  2.876903552E-01  2.547299609E-01 
         6  2.546497476E-01  2.875629991E-01 -1.816143952E-01  5.737398432E-06  0.000000000E+00 -1.816143952E-01  2.875629991E-01  2.546497476E-01 
         7  2.548585783E-01  2.878946088E-01 -1.815974118E-01  1.856302546E-04 -2.463026607E-05 -1.815974118E-01  2.878946088E-01  2.548585783E-01 
         8  2.546537381E-01  2.875693353E-01 -1.815932422E-01  1.325042821E-05  0.000000000E+00 -1.815932422E-01  2.875693353E-01  2.546537381E-01 
         9  2.545785308E-01  2.874499261E-01 -1.815854460E-01  0.000000000E+00 -3.141357880E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
        10  2.545802209E-01  2.874526072E-01 -1.815786862E-01  8.874116997E-07  0.000000000E+00 -1.815786862E-01  2.874526072E-01  2.545802209E-01 
        11  2.547341934E-01  2.876970787E-01 -1.815760745E-01  1.232370385E-04  0.000000000E+00 -1.815760745E-01  2.876970787E-01  2.547341934E-01 
        12  2.545819110E-01  2.874552882E-01 -1.815719263E-01  2.050254384E-06  0.000000000E+00 -1.815719263E-01  2.874552882E-01  2.545819110E-01 
        13  2.546566119E-01  2.875738969E-01 -1.815667280E-01  2.259517704E-05  0.000000000E+00 -1.815667280E-01  2.875738969E-01  2.546566119E-01 
        14  2.545836012E-01  2.874579693E-01 -1.815651665E-01  6.393632921E-06  0.000000000E+00 -1.815651665E-01  2.874579693E-01  2.545836012E-01 
        15  2.545055747E-01  2.873340249E-01 -1.815646887E-01  0.000000000E+00 -4.993635436E-06 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
        16  2.545076724E-01  2.873373583E-01 -1.815583461E-01  2.168260342E-07  0.000000000E+00 -1.815583461E-01  2.873373583E-01  2.545076724E-01 
        17  2.545097700E-01  2.873406916E-01 -1.815520035E-01  4.411647670E-07  0.000000000E+00 -1.815520035E-01  2.873406916E-01  2.545097700E-01 
        18  2.548652677E-01  2.879052349E-01 -1.815509511E-01  4.276754534E-04 -1.364644689E-04 -1.815509511E-01  2.879052349E-01  2.548652677E-01 
        19  2.549690902E-01  2.880701125E-01 -1.815471649E-01  0.000000000E+00  2.166573832E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
        20  2.545118677E-01  2.873440250E-01 -1.815456609E-01  1.030664153E-06  0.000000000E+00 -1.815456609E-01  2.873440250E-01  2.545118677E-01 
        21  2.544733286E-01  2.872828245E-01 -1.815232784E-01  0.000000000E+00 -4.770834181E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        22  2.544754321E-01  2.872861663E-01 -1.815199659E-01  1.769432531E-07  0.000000000E+00 -1.815199659E-01  2.872861663E-01  2.544754321E-01 
        23  2.544775357E-01  2.872895080E-01 -1.815166534E-01  3.627987696E-07  0.000000000E+00 -1.815166534E-01  2.872895080E-01  2.544775357E-01 
